answer,avg_score,brand_name,bta_user_role,cohort_dimension,cohort_value,confidence_tier,created_at,delta_prev_period,index_name,median_score,period_end_date,period_id,question_id,question_text,request_id,response_count,response_option,response_pct,response_total_n,sample_size,segment_type,segment_value,source_table,stddev_score
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,1,Rarely – I like trying something new every time,0.0108,93,,Province,ON,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,13,Always,0.1398,93,,Province,ON,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,9,Always – I stick with brands I know and trust,0.0968,93,,Province,ON,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,2,Never – I don’t pay attention to brand names,0.0215,93,,Province,ON,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,10,Occasionally,0.1075,93,,Province,ON,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,1,Rarely,0.0108,93,,Province,ON,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,1,Rarely – I like trying something new every time,0.0114,88,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,21,Occasionally – I mix between familiar and new brands,0.2386,88,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,15,Always,0.1705,88,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,8,Always – I stick with brands I know and trust,0.0909,88,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,8,Occasionally,0.0909,88,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,44,Often,0.5000,88,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,41,Often – I have a few go-to brands,0.4659,88,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"Likely, but I also like to try new stuff",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Likely but prefer to try new things,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Likely but not overly because there\'s always new stuff to try,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"If something is good it becomes a \""safe\"" product. So if I\'m in a shop, and feeling indecisive, and I recognize it - that\'s what I\'m going to buy",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,If it\'s a solid cultivar or oil i will repuchase,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,If I like it I keep coming back,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"If I find a strain that my body responses to well, I will buy it a few times to enjoy the effects but will then move onto another strain so that way in future, I can go back to that one strain and enjoy the same effects again as I did the first time. I don\'t want my body to get immune to the effects and then not have any from it",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"If I enjoy the product, I will definitely repurchase",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,I really can repurchase cannabis products I enjoyed,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,I have a few solids that I consistently deter to because I know I will be happy with their quality,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"I can\'t really, I just get what my guy has",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,I buy it buy the ounce..in 7g incrememts,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Highly likely,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Highly,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"Fairly likely, although I also like to try new things regularly. However I am more likely to recommend products I enjoy to customers!",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q11_EXPERIENCE_QUALITY,,P1_CONSISTENCY,1,1,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q10_INTENT_MET,,P1_CONSISTENCY,35,5,0.4167,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q10_INTENT_MET,,P1_CONSISTENCY,41,4,0.4881,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q10_INTENT_MET,,P1_CONSISTENCY,6,3,0.0714,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q10_INTENT_MET,,P1_CONSISTENCY,1,2,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,low due to price and the quantity in the package - 10 prerolls.,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"once a week, depends on the quantity available.",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,very,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,very Likely,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,2,very likely,0.0238,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"very likely, especially if it helps me be productive during the day",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"Very likely, but I enjoy trying new things",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Very likely!,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Very likely because I would hate to spend a lot of something that clogs or runs or is rolled too loose,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Very likely 100%,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"Very likely --- however, there\'s always the temptation of something new to try!",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,20,Very likely,0.2381,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"Very , I tend to stick to bc craft",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,3,Very,0.0357,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Usually open to trying anything and rarely disappointed,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Somewhat. I like trying many new things,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Somewhat likely if it was really good but usually there’s too much new product coming into store we will end up selling out or getting different skus,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,So far i have been lucky to have decent Cannabis products. If I dont like something I will always try it a second time just to make sure I give it a far try!,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Pretty likely,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Often,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Most ;likely because I\'m familiar with quality cannabis,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Very much,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Very very likely,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"Very likely, consistency is key. But I also appreciate variety, which there is no shortage of in this industry.",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"Very, I just found some new hash infused pre rolls that slap and will buy them again this week.",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"Very, if they are great!! Mostly Prerolls however",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"When I can find them, almost always.",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q10_INTENT_MET,,P1_CONSISTENCY,1,1,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q11_EXPERIENCE_QUALITY,,P1_CONSISTENCY,1,2,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q11_EXPERIENCE_QUALITY,,P1_CONSISTENCY,9,3,0.1071,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q11_EXPERIENCE_QUALITY,,P1_CONSISTENCY,38,4,0.4524,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q11_EXPERIENCE_QUALITY,,P1_CONSISTENCY,35,5,0.4167,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,1000 % likely to be a repurchaser if I enjoy the product!,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,100/10,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,100%. Unfortunately I usually find good ones in rotating SKUs so I don’t exactly get to keep smoking it. I’ll stock up but once it’s done it’s gone.,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,4,100%,0.0476,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,100 %,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"Extremely likely, I tend to stick with a product if it is consistently good quality",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Extremely likely!,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Extremely likely,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Every so often,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Depending on what else is available,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Always!!,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"Almost always iv I really enjoy it and want to keep it as a staple in my arsenal. That being said, I like to try new things, and I rarely smoke the same thing twice in a row.",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,All the time,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,75% likely to rebuy if I truly enjoyed a product.,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"Very likely, don\'t fix whats not broke/",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"Very likely. I do like to try different strains and terp profiles, but if it hits, it hits!",0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Very likely. I really like Tribal and Nugz. They are amazing for product quality,0.0119,84,,All,All,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,5,Occasionally,0.0862,58,,Age Group,25-34,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,25,Often – I have a few go-to brands,0.4310,58,,Age Group,25-34,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,21,Often,0.3621,58,,Age Group,25-34,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,19,Occasionally – I mix between familiar and new brands,0.3276,58,,Age Group,25-34,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,6,Always,0.1034,58,,Age Group,25-34,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,5,Always – I stick with brands I know and trust,0.0862,58,,Age Group,25-34,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,1,Never – I don’t pay attention to brand names,0.0172,58,,Age Group,25-34,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,8,Occasionally,0.1481,54,,Age Group,35-44,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,1,Rarely – I like trying something new every time,0.0185,54,,Age Group,35-44,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,1,Never – I don’t pay attention to brand names,0.0185,54,,Age Group,35-44,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,1,Rarely,0.0185,54,,Age Group,35-44,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,23,Often – I have a few go-to brands,0.4259,54,,Age Group,35-44,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,28,Often,0.5185,54,,Age Group,35-44,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,6,Always – I stick with brands I know and trust,0.1111,54,,Age Group,35-44,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,8,Always,0.1481,54,,Age Group,35-44,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,CTB_Q12_REPEAT_BRAND_BEHAVIOR,,P1_CONSISTENCY,15,Occasionally – I mix between familiar and new brands,0.2778,54,,Age Group,35-44,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Very very likely,0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"very likely, especially if it helps me be productive during the day",0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,very,0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q11_EXPERIENCE_QUALITY,,P1_CONSISTENCY,20,5,0.4348,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q11_EXPERIENCE_QUALITY,,P1_CONSISTENCY,20,4,0.4348,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"once a week, depends on the quantity available.",0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,low due to price and the quantity in the package - 10 prerolls.,0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Very much,0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Very likely. I really like Tribal and Nugz. They are amazing for product quality,0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,"Very likely, but I enjoy trying new things",0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Very likely!,0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Very likely because I would hate to spend a lot of something that clogs or runs or is rolled too loose,0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q11_EXPERIENCE_QUALITY,,P1_CONSISTENCY,5,3,0.1087,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q11_EXPERIENCE_QUALITY,,P1_CONSISTENCY,1,1,0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Very likely 100%,0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,15,Very likely,0.3261,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Very,0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Usually open to trying anything and rarely disappointed,0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
,,,,,,high,,,,,2026-04-05,ALL_TIME,MCB_Q16_REPEAT,,P1_CONSISTENCY,1,Somewhat. I like trying many new things,0.0217,46,,Role,Budtender,analytics_gold.mart_response_distributions,
